0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
6.4163437,0.19150582,0.0318882,0.10670727,-0.04851749,-0.06363706,0.013593212,-0.0034450842,-0.062470883,0.0033647104,-0.011202812,-0.011159987,0.008545951,0.01653217,-0.035178237,0.03634066,-0.03068899,0.014676322,0.013530472,0.0065386505,-0.020633476,0.017118594,-0.022632543,0.00886746,-0.00056854525,-7.2719005e-05,-0.016574997,-0.0008203461,-0.0054235454,0.0073141023,-0.007932219,-0.00114189,-0.010348306,0.004696046,-0.008487573,0.009101191,-0.0064042583,0.0004945894,-0.004589151,mineiro
6.516876,0.25937212,0.07142874,0.13710721,0.06409196,-0.06093992,-0.0002527547,0.030141862,-0.076407425,0.03647796,-0.03778624,-0.01739409,-0.021525862,-0.0058678472,-0.030564707,0.0722291,-0.053179618,0.024124848,-0.011112704,0.017787533,-0.01552458,0.007620696,-0.017340671,0.005331709,0.012182924,-0.014656071,0.005982254,-0.005963842,-0.005951583,0.0104641225,-0.011006756,0.011861988,-0.017097099,0.005313571,-0.014046344,0.003277632,-0.006632012,0.0032974142,-0.005000686,mineiro
6.552383,-0.04977505,0.03724163,0.09332038,-0.0054070256,-0.0033299052,0.005975744,-0.011876538,-0.026763162,0.051433895,-0.014228237,0.013007242,-0.0013187685,0.010765362,-0.011454663,0.04633335,-0.01776755,0.02420286,-0.002622562,0.013336458,-0.015158773,0.014548083,-0.019918365,0.0032279582,-0.0012218321,-0.006312589,-0.009904011,0.00038313275,-0.009699892,0.0056281136,-0.0125332875,0.008242045,-0.009901902,0.011681962,-0.009962811,0.0056285323,-0.0064049987,0.004686497,-0.006705544,mineiro
6.3747296,0.13875262,0.011467773,0.15130551,0.07959454,-0.054340694,-0.005187798,-0.013305358,-0.05399637,0.029248724,-0.023428325,-0.00689475,-0.00047077195,0.0047468054,-0.003946171,0.04013275,-0.024757475,0.030580917,-0.0074598067,0.01430831,-0.009525392,0.006271768,-0.015928462,0.004519843,0.0004141047,-0.005369512,-0.014672686,0.0008977616,0.0036535067,0.006678277,-0.010193444,0.010908553,-0.008934742,0.0076491986,-0.012413688,0.0028002732,-0.0099989455,-0.0008764403,-0.011361926,mineiro
6.5383296,-0.0016908781,0.04103143,0.11056656,0.07757006,0.007977857,0.0013409624,-0.018639648,-0.009698597,0.045954444,-0.03520167,0.01354818,-0.0006261356,0.011457149,-0.0019161388,0.035329986,-0.012382111,0.033013605,-0.00043140157,0.013213138,-0.014539768,0.01365962,-0.011488433,0.0028094691,-0.00067229994,0.0018081773,-0.011792927,-0.0020379913,0.0047070095,0.0053255456,-0.0032612137,0.0064344294,-0.0059461966,0.013250815,-0.010253547,0.008868695,-0.0040792422,0.007120856,-0.003607935,mineiro
6.4156895,0.0686135,0.039294567,0.09599879,0.02672748,0.014475531,0.0061625573,-0.010463461,-0.051016122,0.02682371,-0.022392532,0.004826084,0.0050291466,0.016105171,0.0002725858,0.019372629,-0.016166095,0.032017093,0.0069238306,0.006883714,-0.012681975,0.0058769416,-0.023249956,0.009431216,-0.010556517,-0.008106545,-0.017261567,-0.0014252057,-0.0060686287,0.0026765885,-0.0061703096,0.009346847,-0.008019268,0.0065461905,-0.006486541,0.0027272296,-0.011816381,-0.00047050978,-0.008065023,mineiro
6.141772,0.15001357,0.05978152,0.12648642,0.07496389,-0.031758327,0.022081811,0.014208579,-0.04698192,0.03631885,-0.015612952,-0.008834896,-0.007934152,0.005130341,-0.010887948,0.030622682,-0.017336568,0.03160009,-0.007979171,0.014775455,-0.012872815,0.004912341,-0.013907466,0.0022811133,0.0017762447,-0.0011948053,-0.008991062,0.0016866577,-0.0039353142,0.008261274,-0.012375707,0.011562766,-0.006585274,0.004269582,-0.008565262,0.006243206,-0.009888739,0.004883788,-0.005964468,mineiro
6.4132075,0.045844365,-0.011613525,0.12688947,0.036585923,-0.021576801,-0.0043100365,-0.02748787,-0.03318289,0.029897587,-0.022729881,0.006167111,0.0068488563,0.01221866,0.00016364026,0.032732047,-0.017489923,0.027699247,0.003398524,0.006892957,-0.010462773,0.016927814,-0.019528272,-0.00039486337,-0.0011186271,-0.0011458056,-0.016322317,-0.004096208,-0.0018440254,0.002068355,-0.006748608,0.009092149,-0.008823831,0.0099485675,-0.008142758,0.00093892496,-0.0066225263,0.00035666133,-0.007774481,mineiro
6.386824,0.049720015,0.058891147,0.11616991,0.04341343,-0.002179633,0.0037869846,-0.018661937,-0.029786598,0.02975017,-0.030868182,0.017880801,0.00012584603,-0.0029198735,-0.013132116,0.053405173,-0.028442362,0.027377097,0.005936549,0.0040713963,-0.008386895,0.010054556,-0.015552696,-0.0019973284,-0.0071588475,0.0017867673,-0.016188003,-0.004311376,-0.007279623,0.0027782198,-0.016421182,0.0123300655,-0.010640294,0.008378185,-0.009678163,0.0063878656,-0.008611733,0.0010662872,-0.014275058,mineiro
6.5354233,0.05606273,-0.0029679073,0.146211,0.10667,0.0022142343,-0.0035556934,-0.0069118133,-0.040409997,0.02899118,-0.02194565,-0.008713234,0.0020994616,0.0052136076,-0.026569527,0.03986411,-0.015915705,0.01616761,0.0064612515,0.00804213,-0.016832393,0.017426448,-0.010034341,-0.0031684563,0.0050169015,-0.0013855611,-0.01148132,-0.0029585976,0.0010268529,0.0027449483,-0.01298145,0.009048843,-0.00945743,0.007529073,-0.008837987,0.0034283642,-0.011114399,0.0031099576,-0.0063639954,mineiro
6.3711157,-0.027641,0.001344416,0.16403018,0.02645844,0.0009229675,0.0050850646,-0.006123002,-0.035135012,0.041634094,-0.016503783,-0.00028982735,-0.0023625323,0.0107258465,-0.02925494,0.036994718,-0.0129890535,0.0056437496,0.004461027,0.0010859042,-0.010766682,0.017177343,-0.014196649,0.0025865019,0.000759204,0.0027586613,-0.013409731,0.00036814457,-0.005133479,-0.004492081,-0.0105539365,-0.0071364613,-0.00782893,0.0076397103,-0.01227601,0.010829759,-0.013592508,-0.0008006049,-0.012675363,mineiro
6.184763,0.13696168,-0.01538247,0.10729007,0.048239265,-0.0057169427,-0.0015089432,-0.012868323,-0.016662527,0.028042644,-0.02389358,0.003780366,0.002525854,-0.004904116,-0.003129685,0.03195396,-0.0138243865,0.018531037,-0.0025227827,0.0054603103,-0.013422264,0.008471657,-0.010732912,0.004671225,-0.01187584,0.0070631164,-0.018359438,-0.0029234122,-0.0026686646,0.004232308,-0.004949824,0.0051099,-0.004886002,0.009272713,-0.010984697,0.0045738085,-0.008021315,-0.0006816853,-0.008105895,mineiro
